City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Linhares,BR,76.55,scattered clouds,-19.3911,-40.0722,Hotel Conceição
12,Rosario,AR,75.2,clear sky,-32.9468,-60.6393,Holiday Inn Rosario
14,Carauari,BR,84.6,broken clouds,-4.8828,-66.8958,Hotel Fellip
22,Hilo,US,77.0,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
23,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
27,Avarua,CK,80.6,scattered clouds,-21.2078,-159.775,Paradise Inn
38,Rikitea,PF,78.49,clear sky,-23.1203,-134.9692,Pension Maro'i
40,Qeshm,IR,77.0,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
41,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
42,Vila Velha,BR,82.4,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
43,Cabo San Lucas,MX,82.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
44,Namibe,AO,79.74,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
45,Riyadh,SA,86.0,light rain,24.6877,46.7219,InterContinental Riyadh
46,Puerto Ayora,EC,80.6,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Alofi,NU,77.0,light rain,-19.0595,-169.9187,Taloa Heights
51,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
58,Grand Gaube,MU,75.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
64,Mahebourg,MU,75.2,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
67,Sinnamary,GF,79.38,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
74,Tual,ID,81.99,broken clouds,-5.6667,132.75,Grand Vilia Hotel
76,Daltenganj,IN,76.1,clear sky,24.0333,84.0667,Hotel Galaxy Inn
77,Banjar,ID,75.63,clear sky,-8.19,114.9675,The Hamsa Resort
78,Moerai,PF,79.99,light rain,-22.4333,-151.3333,Le Manotel
82,Vao,NC,76.3,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
86,Axim,GH,81.59,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
89,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
