City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,73.4,71,74,24.23,broken clouds
1,Hobart,AU,-42.8794,147.3294,45.0,93,75,6.91,broken clouds
2,Ushuaia,AR,-54.8,-68.3,51.8,40,20,12.66,few clouds
3,Linhares,BR,-19.3911,-40.0722,76.55,70,37,4.56,scattered clouds
4,Ballina,AU,-28.8667,153.5667,55.4,82,90,6.91,overcast clouds
5,Nassau,US,40.7507,-73.5829,50.0,83,100,3.0,light rain
6,Broome,US,42.2506,-75.833,46.99,100,90,9.22,overcast clouds
7,Faya,SA,18.3851,42.4509,64.4,63,0,4.61,clear sky
8,Yulara,AU,-25.2406,130.9889,60.8,41,96,4.61,overcast clouds
9,Provideniya,RU,64.3833,-173.3,17.92,88,100,16.35,overcast clouds
10,Albany,US,42.6001,-73.9662,51.8,71,90,8.05,light rain
11,Castro,BR,-24.7911,-50.0119,66.76,90,39,3.91,scattered clouds
12,Rosario,AR,-32.9468,-60.6393,75.2,41,0,6.91,clear sky
13,Nanortalik,GL,60.1432,-45.2371,35.67,76,15,12.97,few clouds
14,Carauari,BR,-4.8828,-66.8958,84.6,69,54,0.51,broken clouds
15,Dolinsk,RU,47.35,142.8,44.6,57,99,13.42,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,51.01,95,100,1.01,light rain
17,Kruisfontein,ZA,-34.0033,24.7314,66.0,93,73,1.01,broken clouds
18,Thompson,CA,55.7435,-97.8558,26.6,50,90,17.27,overcast clouds
19,Yerbogachen,RU,61.2767,108.0108,22.73,96,99,7.67,overcast clouds
20,Codrington,AU,-38.2667,141.9667,56.25,59,100,15.3,overcast clouds
21,Busselton,AU,-33.65,115.3333,50.0,87,99,1.99,overcast clouds
22,Hilo,US,19.7297,-155.09,77.0,61,1,10.36,clear sky
23,Vaini,TO,-21.2,-175.2,78.8,73,20,6.91,few clouds
24,Albion,US,42.2431,-84.753,61.0,59,75,17.27,broken clouds
25,Muros,ES,42.7762,-9.0603,55.4,58,0,5.75,clear sky
26,Severo-Kurilsk,RU,50.6789,156.125,33.48,97,100,2.66,light snow
27,Avarua,CK,-21.2078,-159.775,80.6,78,42,4.61,scattered clouds
28,San Quintin,MX,30.4833,-115.95,62.73,63,6,12.73,clear sky
29,Jamestown,US,42.097,-79.2353,57.0,87,75,10.36,broken clouds
30,Caiaponia,BR,-16.9567,-51.8103,74.53,58,29,3.24,scattered clouds
31,Siyabuswa,ZA,-25.1132,29.0445,64.69,34,0,3.87,clear sky
32,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,73,5.75,broken clouds
33,Champerico,GT,14.3,-91.9167,95.0,43,20,6.91,few clouds
34,Nikolskoye,RU,59.7035,30.7861,54.0,43,0,6.71,clear sky
35,Talnakh,RU,69.4865,88.3972,20.95,95,100,7.72,light snow
36,Ginir,ET,7.1333,40.7,58.23,82,97,5.1,overcast clouds
37,Kodiak,US,57.79,-152.4072,42.8,61,1,10.36,clear sky
38,Rikitea,PF,-23.1203,-134.9692,78.49,68,7,10.31,clear sky
39,Hermanus,ZA,-34.4187,19.2345,63.0,89,96,3.0,overcast clouds
40,Qeshm,IR,26.9581,56.2719,77.0,83,0,4.61,clear sky
41,Georgetown,MY,5.4112,100.3354,80.6,89,20,4.61,few clouds
42,Vila Velha,BR,-20.3297,-40.2925,82.4,74,0,8.05,clear sky
43,Cabo San Lucas,MX,22.8909,-109.9124,82.99,38,1,11.5,clear sky
44,Namibe,AO,-15.1961,12.1522,79.74,74,1,3.11,clear sky
45,Riyadh,SA,24.6877,46.7219,86.0,19,40,6.91,light rain
46,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,75,10.36,light rain
47,Fort Nelson,CA,58.8053,-122.7002,42.8,31,75,4.61,broken clouds
48,Alofi,NU,-19.0595,-169.9187,77.0,88,75,6.91,light rain
49,New Norfolk,AU,-42.7826,147.0587,45.0,86,100,2.48,overcast clouds
50,Ocos,GT,14.5094,-92.1933,95.0,52,20,17.27,few clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,45,0,12.66,clear sky
52,Tourlaville,FR,49.6383,-1.5664,45.0,87,75,2.3,broken clouds
53,Upernavik,GL,72.7868,-56.1549,31.08,97,100,6.51,light snow
54,Komsomolskiy,UZ,40.4272,71.7189,60.8,36,93,9.22,overcast clouds
55,Punta Arenas,CL,-53.15,-70.9167,50.0,53,75,24.16,broken clouds
56,Kargasok,RU,59.0556,80.8572,29.32,93,12,7.72,few clouds
57,Gat,IL,31.61,34.7642,57.0,83,0,3.94,clear sky
58,Grand Gaube,MU,-20.0064,57.6608,75.0,92,100,5.01,moderate rain
59,Kaitangata,NZ,-46.2817,169.8464,52.59,94,100,4.12,light rain
60,Shingu,JP,33.7333,135.9833,57.9,92,100,7.94,overcast clouds
61,Jogindarnagar,IN,31.9833,76.7667,62.56,32,3,10.76,clear sky
62,Liaozhong,CN,41.5061,122.7242,33.8,75,0,8.95,clear sky
63,Nishihara,JP,26.1842,127.7558,71.6,94,75,4.61,broken clouds
64,Mahebourg,MU,-20.4081,57.7,75.2,94,75,4.61,moderate rain
65,Kapaa,US,22.0752,-159.319,77.0,65,20,14.97,light rain
66,Fortuna,US,40.5982,-124.1573,60.01,71,1,16.11,clear sky
67,Sinnamary,GF,5.3833,-52.95,79.38,85,27,9.55,scattered clouds
68,Yellowknife,CA,62.456,-114.3525,16.0,67,20,20.71,few clouds
69,Cidreira,BR,-30.1811,-50.2056,69.84,73,32,10.16,scattered clouds
70,Pangody,RU,65.85,74.4859,27.55,83,90,22.26,overcast clouds
71,Lompoc,US,34.6391,-120.4579,59.0,71,10,10.36,clear sky
72,Ayagoz,KZ,47.9714,80.4392,41.67,42,0,10.85,clear sky
73,Lebu,CL,-37.6167,-73.65,61.77,76,0,16.08,clear sky
74,Tual,ID,-5.6667,132.75,81.99,75,71,8.01,broken clouds
75,Mega,ET,4.05,38.3,59.38,90,92,5.23,overcast clouds
76,Daltenganj,IN,24.0333,84.0667,76.1,15,0,5.35,clear sky
77,Banjar,ID,-8.19,114.9675,75.63,86,2,5.3,clear sky
78,Moerai,PF,-22.4333,-151.3333,79.99,78,96,17.09,light rain
79,Balfour,ZA,-26.6633,28.5902,63.0,5,0,4.88,clear sky
80,Vestmannaeyjar,IS,63.4427,-20.2734,41.88,80,67,17.4,broken clouds
81,Kawalu,ID,-7.3817,108.2082,71.89,97,98,0.72,overcast clouds
82,Vao,NC,-22.6667,167.4833,76.3,86,100,16.26,overcast clouds
83,Kenora,CA,49.8167,-94.4337,33.8,93,90,13.8,light intensity drizzle
84,Tasiilaq,GL,65.6145,-37.6368,28.4,64,11,6.91,few clouds
85,Kutum,SD,14.2,24.6667,70.18,7,10,11.07,clear sky
86,Axim,GH,4.8699,-2.2405,81.59,83,87,9.08,overcast clouds
87,Lages,BR,-27.8161,-50.3261,61.39,68,0,3.87,clear sky
88,Sioux Lookout,CA,50.1001,-91.917,35.6,93,90,11.5,overcast clouds
89,Porto Novo,BJ,6.4965,2.6036,84.2,79,20,10.36,few clouds
90,Avera,US,33.194,-82.5271,86.0,21,1,14.97,clear sky
91,Bluff,NZ,-46.6,168.3333,51.01,95,100,1.01,light rain
92,Yaroslavl,RU,57.6299,39.8737,51.8,37,0,6.71,light rain
93,Saint-Philippe,RE,-21.3585,55.7679,80.6,74,90,5.75,moderate rain
94,Ghansor,IN,22.65,79.95,80.04,14,0,3.8,clear sky
95,Cape Town,ZA,-33.9258,18.4232,64.99,94,40,12.66,scattered clouds
96,Cedar Falls,US,42.5278,-92.4455,57.2,33,1,19.57,clear sky
